"symbol","initial_price","ending_price","final_roi","roi_rank","peak_roi","peak_roi_rank"
"BNBUSDT","4.62","551.30","119.43","1","146.48","3"
"DOGEUSDT","0.00","0.27","70.18","2","436.13","1"
"ADAUSDT","0.03","1.95","67.21","3","127.35","5"
"LINKUSDT","0.49","31.66","64.68","4","136.40","4"
"THETAUSDT","0.12","7.31","59.23","5","274.82","2"
"MANAUSDT","0.06","3.03","52.11","6","61.63","12"
"ETHUSDT","84.67","4319.43","51.01","7","52.19","14"
"VETUSDT","0.00","0.14","40.29","8","112.09","6"
"BTCUSDT","3228.67","60911.11","18.87","9","20.44","26"
"ETCUSDT","3.61","53.88","14.92","10","38.59","16"
"NPXSUSDT","0.00","0.01","14.58","11","95.75","8"
"BNTUSDT","0.30","4.28","14.48","12","69.01","10"
"ICXUSDT","0.19","2.34","12.51","13","27.65","18"
"WAVESUSDT","2.52","26.45","10.48","14","68.05","11"
"QTUMUSDT","1.72","16.86","9.79","15","26.34","19"
"HOTUSDT","0.00","0.01","8.97","16","101.89","7"
"ARDRUSDT","0.04","0.34","8.88","17","13.84","33"
"NEOUSDT","5.68","45.18","7.96","18","22.76","22"
"TRXUSDT","0.01","0.10","7.77","19","19.53","27"
"LTCUSDT","25.52","197.60","7.74","20","15.20","30"
"OMGUSDT","1.98","14.68","7.40","21","40.76","15"
"XTZUSDT","0.86","6.24","7.26","22","11.48","38"
"DCRUSDT","15.67","111.90","7.14","23","22.28","24"
"SCUSDT","0.00","0.02","6.67","24","22.36","23"
"BATUSDT","0.17","1.02","6.10","25","14.03","31"
"ZILUSDT","0.02","0.11","6.02","26","75.34","9"
"XMRUSDT","52.10","271.10","5.20","27","15.22","29"
"ZRXUSDT","0.25","1.24","5.01","28","16.63","28"
"MKRUSDT","529.32","2451.00","4.63","29","13.74","34"
"RVNUSDT","0.03","0.12","4.51","30","21.16","25"
"NANOUSDT","1.36","6.04","4.45","31","35.97","17"
"XLMUSDT","0.10","0.37","3.82","32","23.15","21"
"WTCUSDT","0.26","0.98","3.81","33","9.98","43"
"XRPUSDT","0.29","1.09","3.81","34","13.54","35"
"ZECUSDT","55.14","169.70","3.08","35","12.97","36"
"BCHUSDT","217.41","586.90","2.70","36","10.74","42"
"DGBUSDT","0.02","0.05","2.60","37","8.48","45"
"LSKUSDT","1.36","3.45","2.52","38","13.99","32"
"EOSUSDT","1.90","4.64","2.44","39","8.22","46"
"WANUSDT","0.41","0.96","2.34","40","25.77","20"
"ONTUSDT","0.46","1.03","2.26","41","8.80","44"
"DASHUSDT","95.74","189.10","1.98","42","11.18","40"
"BTSUSDT","0.03","0.05","1.65","44","12.57","37"
"REPUSDT","14.98","24.70","1.65","43","5.22","48"
"AIONUSDT","0.12","0.18","1.55","45","11.04","41"
"KMDUSDT","0.73","1.04","1.43","46","11.28","39"
"GXSUSDT","0.46","0.65","1.39","47","4.70","49"
"XEMUSDT","0.17","0.19","1.17","48","8.19","47"
"STRATUSDT","0.46","0.49","1.07","49","4.45","50"
"DAIUSDT","1.03","1.02","0.99","53","1.03","60"
"PAXUSDT","1.01","1.00","0.99","50","1.05","59"
"TUSDUSDT","1.01","1.00","0.99","52","1.06","57"
"USDCUSDT","1.01","1.00","0.99","51","1.05","58"
"POLYUSDT","0.74","0.70","0.95","54","1.78","56"
"MITHUSDT","0.06","0.05","0.81","55","60.35","13"
"ELFUSDT","0.82","0.62","0.76","56","1.94","55"
"XVGUSDT","0.03","0.02","0.72","57","2.18","54"
"MCOUSDT","4.28","2.74","0.64","58","2.42","53"
"BTGUSDT","114.78","64.19","0.56","59","4.15","51"
"HCUSDT","1.59","0.84","0.53","60","3.49","52"
